|   Real   |   User   |  System  |
|   0    |   0    |   0    |
|   2    |   2    |   0    |
|   231    |   202    |   28    |
|   0    |   0    |   0    |
|   8    |   7    |   1    |
|   761    |   653    |   108    |
|   0    |   0    |   0    |
|   15    |   13    |   2    |
|   1506    |   1317    |   188    |
