|   Real   |   User   |  System  |
|   0    |   0    |   0    |
|   3    |   2    |   0    |
|   228    |   195    |   32    |
|   0    |   0    |   0    |
|   8    |   7    |   0    |
|   758    |   649    |   108    |
|   0    |   0    |   0    |
|   16    |   15    |   0    |
|   1516    |   1296    |   219    |
